Wavelength,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
401.78,1.05458,1.05433,1.045,1.03881,1.03351,1.026,1.01402,1.0043,0.995428,0.978112,0.960329,0.940374,0.914244,0.881258,0.837727,0.778705
455.41,1.05896,1.05792,1.05528,1.04681,1.03789,1.03074,1.02527,1.01099,0.998797,0.984435,0.969748,0.944521,0.919987,0.890628,0.842917,0.781315
502.9,1.06185,1.06279,1.05963,1.04909,1.04151,1.03606,1.02509,1.0137,1.00105,0.987967,0.970573,0.948154,0.923923,0.887964,0.842825,0.781908
554.13,1.06761,1.06395,1.05708,1.05281,1.04836,1.03677,1.02768,1.01765,1.00873,0.989481,0.971344,0.952914,0.92586,0.891857,0.846419,0.78476
650.99,1.06823,1.0691,1.05981,1.05215,1.04797,1.03858,1.02737,1.01673,1.00566,0.989487,0.97264,0.951807,0.924762,0.890289,0.846549,0.784824
699.32,1.07024,1.06891,1.05961,1.05535,1.04851,1.03767,1.0275,1.01677,1.00536,0.989165,0.970892,0.951462,0.921644,0.888911,0.844436,0.785325
745.95,1.0712,1.06866,1.06207,1.05498,1.04684,1.03907,1.03023,1.01907,1.00512,0.990338,0.972987,0.952156,0.924446,0.886572,,
800.59,1.07777,1.07456,1.06322,1.05512,1.05027,1.03645,1.02775,1.01685,1.00445,0.988873,0.971646,0.952616,0.924696,0.891301,0.849553,0.793402
846.38,1.07533,1.07413,1.0651,1.05584,1.04694,1.03813,1.02967,1.01655,1.00369,0.989775,0.971093,0.951329,0.926209,0.895241,0.84963,0.794129
868.68,1.07128,1.06824,1.06168,1.05509,1.04683,1.03891,1.02927,1.018,1.00515,0.989698,0.973036,0.951377,0.923592,0.886845,,
951.23,1.07264,1.07097,1.06291,1.05225,1.04665,1.03738,1.02751,1.01427,1.00142,0.987382,0.96933,0.949277,0.923596,0.891715,0.850647,0.798293
1060.99,1.07385,1.07282,1.0617,1.05395,1.04782,1.03777,1.02752,1.01766,1.00512,0.988271,0.97086,0.952266,0.925742,0.894175,0.854479,0.802789
1243.53,1.08066,1.07641,1.06893,1.06149,1.05354,1.04512,1.03556,1.02467,1.01096,0.995597,0.978302,0.955835,0.929146,0.891536,,
1380.83,1.08028,1.07659,1.06935,1.06206,1.05447,1.04622,1.03633,1.02597,1.01278,0.997855,0.980176,0.957675,0.930558,0.894278,,
1646.05,1.06969,1.06611,1.05899,1.05229,1.04407,1.03712,1.02609,1.01538,1.00198,0.988529,0.971221,0.949947,0.921967,0.88726,,
2133.48,1.01955,1.01527,1.00868,1.00135,0.995387,0.988583,0.979563,0.969873,0.959217,0.945189,0.929382,0.910454,0.885879,0.852952,,
2164.17,1.02653,1.02224,1.01562,1.00726,1.00008,0.994371,0.985079,0.976473,0.963422,0.951153,0.935489,0.914826,0.890699,0.857464,,
2207.75,1.04244,1.03692,1.02916,1.02333,1.016,1.00641,0.999577,0.98852,0.976826,0.963264,0.946758,0.927676,0.900835,0.868322,,
2262.85,1.0394,1.03464,1.02833,1.02137,1.01432,1.00616,0.99762,0.987752,0.976454,0.962033,0.946154,0.925695,0.90093,0.867935,,
2332.17,1.02425,1.01915,1.01194,1.00642,0.998202,0.991451,0.983544,0.97325,0.962416,0.947796,0.932257,0.911946,0.887719,0.856376,,
2402.92,1.01342,1.00876,1.00311,0.995238,0.989084,0.981324,0.973585,0.965412,0.952838,0.939644,0.925516,0.906014,0.882174,0.849997,,
