site_no,date,lon,lat,descr
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
,2018-03-26,[],[],line1
