,0,1,2,3,4,5,6,7,8,9,10,11,Sat_mean
band1,0.08148943339696142,0.07722752082644935,0.07575163352906311,0.07307775518447379,0.07540676014032797,0.07361256833895545,0.07474197264601923,0.0772391772458084,0.07654541250672307,0.07260858116256211,0.07201075084583022,0.0670738271771985,0.07932285714285714
band2,0.09150388836315758,0.08630316383853776,0.08480526261830887,0.08154950252393665,0.08438189842267192,0.08223324143617021,0.08370097053442774,0.08636579229265266,0.08579888361124356,0.08113630175626861,0.08066849162049068,0.07483408118253652,0.08671333333333334
band3,0.10161983314330802,0.09504528180077168,0.09372089769816888,0.0897619856722232,0.09306194853220466,0.09060026188866895,0.0924133891693635,0.09516648291694672,0.09474335175665616,0.08935625873903004,0.08916867857569412,0.08246477116424736,0.0959152380952381
band4,0.11252637560382005,0.10582583128944865,0.10371024972217138,0.09980378434774038,0.10330987723142775,0.10095810517510083,0.10271403702793125,0.10600803481375658,0.10550125013149056,0.09971176387213708,0.09894378657705766,0.09163435509044952,0.11064571428571428
band5,0.12092223316090704,0.11187321814004891,0.11076382277460958,0.10587140172587317,0.10945763594036101,0.10664586280472432,0.10888785377401301,0.11197367562541997,0.11174535739494937,0.10524304661868276,0.10524550835224357,0.09730282256200179,0.12351904761904761
band6,0.1341257646492035,0.11890807957339729,0.12071290438773136,0.1132591971012008,0.1164880364823468,0.11290530771754997,0.11574190802090595,0.11851381565363382,0.11840379973933045,0.11095818796035913,0.11333957514092073,0.10517919874082649,0.13159380952380953
band7,0.14174469306672674,0.12540024892083132,0.12781879091954093,0.11975197240079553,0.1233448994947591,0.11950465650329395,0.12279588111309056,0.12563911037374406,0.12584608976868453,0.11788161500447324,0.12092508770103272,0.11233663880740874,0.13264571428571428
band8,0.15045732598169714,0.13380178183664795,0.1359782277373901,0.12786344197257843,0.131366879086181,0.12759212065928432,0.1308551048996975,0.1340788133713157,0.134100977814712,0.12598584569690374,0.12880221547147558,0.1198903580953881,0.1449057142857143
band8a,0.15516271686854022,0.13830925100965943,0.1403902538824888,0.13216701315192197,0.1356816061246168,0.13191273992822722,0.13522498102533176,0.1385673899561687,0.13863723261532318,0.1302676371499489,0.13308819262975927,0.12400107068971311,0.1473252380952381
band11,0.2254891752857771,0.21499939298825055,0.21323718978918807,0.20552755373419873,0.21160881022791098,0.2076062945928966,0.2125541598725639,0.21649050593054994,0.2191342818734268,0.20725389813271486,0.20667528806908708,0.1934009054523485,0.22934285714285715
band12,0.19132292875989584,0.18104416082914307,0.17679886762162933,0.17115620990381644,0.17659027195187835,0.17359489175131934,0.1776768657084304,0.18199488674136546,0.1825166927662564,0.17356326176443673,0.17007367763507567,0.15843865248408495,0.19597619047619047
