,0,1,2,3,4,5,6,7,8,Sat_mean
band1,0.054228665331975005,0.053760289575348834,0.05462654155454093,0.05113930207348984,0.048336918463873293,0.048394659143060334,0.047637299607606716,0.048571349076664425,0.04799494056080654,0.0492525974025974
band2,0.060846902908500825,0.06027434213558349,0.0613207874256988,0.057287213897417005,0.054024661039958254,0.054078806918618876,0.05332759242388812,0.0543663742296372,0.05372719164598778,0.05394935064935065
band3,0.0677527320720033,0.06705983931458596,0.068283261418624,0.06365652570168423,0.05988373517350666,0.05995283038899131,0.0591597577725414,0.060363513594988705,0.05957790999769255,0.06084545454545455
band4,0.07619528294175355,0.07552905350615394,0.07678442038970539,0.07151394287727475,0.06717723992427012,0.06720242584762932,0.06646114039334418,0.06777763611719463,0.06686648281033043,0.07303636363636364
band5,0.08132145196152553,0.08069314142958635,0.08201767866040081,0.07619447406417364,0.0714497488525123,0.07159388637099985,0.07073298814865504,0.07223620467135765,0.07113013508053423,0.08609805194805194
band6,0.08718199553842551,0.08652532274114377,0.0881888874582733,0.0812102997597063,0.07586951715878158,0.07608437215192285,0.07502132390243064,0.07674624144785869,0.07543765055109825,0.09180714285714285
band7,0.09317204071169376,0.092677763800177,0.09452418976679625,0.08715461384509093,0.08144759428813188,0.08181334277884343,0.080817879748559,0.082748017878972,0.08141512776305716,0.09171623376623377
band8,0.09994679125265302,0.09954222978440458,0.10138992457816133,0.09367207151724931,0.08753280344218861,0.08803083638200292,0.08690245803917715,0.08908121850147763,0.08748200733948738,0.10532077922077922
band8a,0.10382254592831683,0.10334744389751829,0.10518763081234873,0.09720788495472556,0.0908316188133945,0.0912149933036396,0.09016607843120474,0.09233852786883769,0.09076788720563138,0.1034422077922078
band11,0.16866222510455117,0.16888155354176515,0.17102615445111952,0.16117297032358002,0.15188848162955018,0.15344180672478544,0.15338331488724452,0.15539079092168326,0.1532528804707005,0.17241038961038962
band12,0.13609213791329167,0.13560331896385475,0.13841376413729511,0.12923234839730485,0.12083008610541,0.12250996558875445,0.12102444853564437,0.12307880744587107,0.11978388506949074,0.1443220779220779
