,0,1,2,3,4,5,Sat_mean
band1,0.17898424523545461,0.17423823768038665,0.17189408084373586,0.1778458311335984,0.17658634349789326,0.1793170530207914,0.18353973214285713
band2,0.24569535586085703,0.23968488594925907,0.23614920618915808,0.2414145051629982,0.23840547362012,0.24046087212585546,0.23633660714285715
band3,0.44835679281588214,0.4411080071257229,0.4343661869246904,0.4292509488931867,0.41711189326360043,0.41059396529520525,0.41327410714285717
band4,0.5696461394316071,0.5620496028818964,0.5528831545036913,0.5430955338058526,0.5291807358994192,0.5202444956337782,0.549378125
band5,0.5994279905509785,0.5901959729715297,0.580286979229642,0.5705135561803136,0.5562506898789199,0.5475985395998445,0.6029392857142857
band6,0.6292625302516714,0.6189128421618434,0.6081511707581124,0.597858704973156,0.5828680063914462,0.573892099584306,0.6214669642857144
band7,0.6251983064863192,0.6164304237498631,0.6064963102274269,0.5980445022850396,0.5843937089356269,0.5769893620154655,0.6160732142857143
band8,0.6278280508890645,0.6188037461269115,0.6086547709667247,0.6018581530866728,0.5892156611502234,0.5831209744251358,0.6330839285714285
band8a,0.6276338788343189,0.6186200431790791,0.6082935275444983,0.6025711518973319,0.5907014324538151,0.5856424566938393,0.6405544642857143
band11,0.7257980942490012,0.7188365859356192,0.7070610415171593,0.694487548621267,0.6773584840073369,0.6659574171941575,0.7612691964285715
band12,0.5955834233586406,0.5944422574180606,0.5866152740012496,0.5623060750412658,0.5434542563230262,0.5255959896528974,0.612165625
